respondent,degree,strength,betweenness,closeness,eigenvector
110,7,2.695,0.1499,0.1965,0.379
104,6,2.2659,0.111,0.186,0.3586
49,6,2.2692,0.0949,0.1852,0.3571
119,6,2.3921,0.0895,0.1292,0.0221
95,6,2.2522,0.0931,0.1598,0.2007
57,5,2.0126,0.0817,0.1869,0.2861
123,5,1.912,0.1442,0.1495,0.0316
114,5,1.7942,0.0808,0.1655,0.1678
21,5,1.7692,0.1321,0.186,0.2308
90,5,1.71,0.0476,0.135,0.0801
94,4,1.4582,0.0794,0.1877,0.227
55,4,1.4632,0.0935,0.1702,0.1451
50,4,1.5419,0.0154,0.1368,0.11
91,4,1.5762,0.0164,0.1107,0.0116
61,4,1.6447,0.1057,0.192,0.3338
111,4,1.3677,0.0164,0.1107,0.0098
81,3,1.0833,0.1015,0.1723,0.1661
72,3,1.0389,0.0607,0.1648,0.0982
101,3,1.1108,0.0317,0.1276,0.0143
105,3,0.9381,0.0054,0.1709,0.1437
41,3,1.1217,0.0201,0.1386,0.0467
86,3,1.2821,0.0298,0.1655,0.2554
83,3,0.9878,0.0065,0.1405,0.0727
35,3,1.0781,0.0317,0.1377,0.0636
12,3,1.0276,0.0532,0.1469,0.0305
17,3,0.9317,0.032,0.0941,0.0011
79,3,1.4161,0.0621,0.1073,0.0048
65,2,0.6687,0.0,0.1312,0.0135
66,2,0.7267,0.0161,0.1479,0.0896
125,2,0.7397,0.0,0.1099,0.0079
121,2,0.8344,0.0003,0.0233,0.0
102,2,1.0401,0.0752,0.1235,0.0091
80,2,0.6045,0.0886,0.1443,0.0343
120,2,0.6174,0.0005,0.0262,0.0
108,2,0.7704,0.0161,0.1169,0.0084
92,2,0.698,0.0317,0.1391,0.0314
63,2,0.6487,0.0005,0.0262,0.0
11,2,0.6784,0.0161,0.1087,0.0033
126,2,0.6634,0.0,0.1099,0.0074
62,2,0.6517,0.0232,0.1528,0.0819
48,2,0.7618,0.0161,0.116,0.0149
13,2,0.7281,0.0161,0.155,0.0884
46,2,0.6115,0.1029,0.1629,0.0514
32,1,0.3233,0.0,0.1134,0.0168
103,1,0.362,0.0,0.1224,0.0211
31,1,0.3437,0.0,0.1134,0.0179
106,1,0.3697,0.0,0.0116,0.0
26,1,0.371,0.0,0.0116,0.0
24,1,0.4354,0.0,0.0155,0.0
22,1,0.3469,0.0,0.1134,0.018
113,1,0.3448,0.0,0.0943,0.0007
38,1,0.3923,0.0,0.1272,0.0225
116,1,0.371,0.0,0.0116,0.0
117,1,0.4298,0.0,0.0997,0.0042
118,1,0.316,0.0,0.0174,0.0
19,1,0.399,0.0,0.0155,0.0
18,1,0.3176,0.0,0.1474,0.0476
16,1,0.3396,0.0,0.1304,0.0443
14,1,0.477,0.0,0.0116,0.0
99,1,0.477,0.0,0.0116,0.0
97,1,0.3587,0.0,0.1474,0.0836
93,1,0.3086,0.0,0.0958,0.002
85,1,0.4433,0.0,0.1372,0.0418
58,1,0.3029,0.0,0.0831,0.0002
56,1,0.3531,0.0,0.0932,0.0011
70,1,0.3697,0.0,0.0116,0.0
54,1,0.3545,0.0,0.1342,0.0387
74,1,0.4049,0.0,0.1479,0.0753
53,1,0.4321,0.0,0.1479,0.0803
52,1,0.432,0.0,0.116,0.0131
82,1,0.3027,0.0,0.0831,0.0002
45,1,0.3473,0.0,0.0174,0.0
42,1,0.4152,0.0,0.0958,0.0031
40,1,0.3827,0.0,0.1004,0.0021
109,0,0.0,0.0,0.0,0.0
84,0,0.0,0.0,0.0,0.0
37,0,0.0,0.0,0.0,0.0
29,0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0
115,0,0.0,0.0,0.0,0.0
89,0,0.0,0.0,0.0,0.0
43,0,0.0,0.0,0.0,0.0
36,0,0.0,0.0,0.0,0.0
69,0,0.0,0.0,0.0,0.0
64,0,0.0,0.0,0.0,0.0
59,0,0.0,0.0,0.0,0.0
67,0,0.0,0.0,0.0,0.0
