,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15
T01,1.0,0.33748222630877056,-0.08952313560273736,-0.029950124653787463,0.2554515990385066,0.024063579633341173,0.2557853649145476,0.18464131764998867,0.08478350890221745,0.027488157032609227,0.0192997622885584,-0.2816042394186002,-0.13924332676237466,-0.09862797786191892,-0.04360566951004304,0.04675340446444028,0.1434847077031761,0.11370119076078876,0.09452404656430932,-0.05230728138673648,0.108524439243223,-0.04915879601789955,0.20026601570371474,0.0010547263486968797,-0.14411705078364476,-0.02811056885999737,0.22423270255036742,0.09128586999062802,0.04125931695822088,-0.12771050007169665,0.008647112746598927,-0.0034506236447549086,0.023280925736551702,-0.20135708909892297,-0.1412440156749826,-0.08817617974123694,0.02645416075282288,0.0036772474800726485,-0.04019124122486866,-0.028861378614345724,0.1396658233893178,0.10185775928769882,-0.10187595564100826,-0.08470692196863677,0.0552919349893322,-0.055167609880040956,-0.03617131975473453,-0.027435555296352505,-0.005514495117431075,-0.12911674576378138,-0.04269255952707488,-0.06426602833014403,0.011386761430647336,-0.12051021604771903,-0.025221734818150026,0.010430160389467268,-0.1582443260782327,-0.10258386230294547,-0.050706569292572515,-0.08138789960416357
T02,0.33748222630877056,1.0,-0.058209399462825356,0.3087097342937452,0.0458355458778634,0.2817796562788623,0.039838408556481325,0.14706299645965426,-0.1542303718982656,0.14004441376985483,0.048847467799072945,-0.012326232063131316,0.012906052772485662,0.12024156467507237,0.02458180374891964,0.13258012278987158,0.013735441872884896,-0.08394837924180319,0.15057928551060246,-0.22282638610739366,0.07546074209957507,0.09943624712371199,0.05741876614706278,0.07208862564335768,0.14940769534934176,0.013934473942512503,0.5312786652887105,0.020762698849802506,0.29977559439630125,0.059457573838531085,0.11797970701063763,0.003547666607837738,0.08663000120109982,0.07837182579957112,-0.005186295182246251,0.07474179951070574,0.1797211250592523,0.03669491267546026,0.11502701113128665,-0.12154780683637885,-0.13647780198912043,0.07111021491898711,0.12023844435423012,0.16823875650431203,0.23634106773903607,-0.0021130384370124863,0.27901642591195874,0.12844862726560316,0.030135093789623958,-0.10501235423814921,0.019788287786173593,-0.025680842176602846,0.11433817331843872,0.053336958975341985,0.14908990815571999,0.2186814262081514,0.11364129722801866,0.06267571910335473,0.06128491870565426,-0.10385765242897198
T03,-0.08952313560273736,-0.058209399462825356,1.0,0.006756720466300433,-0.058364819254825714,0.18382214102025393,0.10595755165360557,-0.10801442283322447,0.15257620701790237,0.1406251100218416,0.15682216806211324,0.2904382605235698,0.09949823716123823,0.17626311462550306,0.15819216199788613,-0.09931770767280823,0.0849398074272036,-0.040872891796709505,-0.3225691736917567,0.12544290115389756,-0.07192451351536013,0.21353110663029717,0.09483173024118635,-0.006024424331632491,0.09114945986691576,0.43524043109360877,0.10103861303785332,-0.08889316470279299,0.23577326952242209,0.16761695496977572,0.01822172189097766,0.2605029523835239,-0.046316597871397594,0.15224792502128395,0.1482661253868968,0.031776003150504877,0.07638635425017791,0.15081286410376432,0.14328360958815184,0.11222008724975348,0.1797606907380557,0.27197331645597334,0.02436969172170587,0.07132273384457226,0.14460761347317708,-0.047585618258444345,0.305623036868904,-0.04582581852688885,0.18760718338462246,0.11438756591109041,0.06285699726663918,0.36536805320782395,0.20755547831341045,0.36761608521574757,0.10109153877157351,0.008313889561279283,0.17671613635867267,0.06920653883104685,0.17989829455919817,0.20997519620278346
T04,-0.029950124653787463,0.3087097342937452,0.006756720466300433,1.0,0.054700788644761786,0.2496034193536414,-0.03555240324592382,0.14710732139975477,-0.10964729415573117,0.24278952119167235,-0.16802087004349273,0.16430067507603616,-0.003452737036350488,0.3106023646052554,0.24174969176654076,0.033191592099530196,0.02315271731632547,-0.10980026565170212,-0.06855714902490757,-0.010751687049971825,0.1050850726784005,0.23028470816035487,-0.003343606142118488,0.15993243555879086,0.40204466122910254,0.01785880390945631,0.33422441570423295,0.017642247631026592,0.36278777511582305,0.16745830126209982,0.11101522863678526,0.08931188371061867,0.16106859103688262,0.11418339116052115,0.014305280740323983,0.15086049548134234,0.126242662787628,-0.15914922192487904,0.17709870619898851,0.1114695114550782,-0.04358690743196446,0.13466284967634273,0.3070756529458279,0.2676162079173165,0.34267534427311225,0.08834605900861264,0.15706883391673415,0.25028667829759776,-0.06337875620123816,-0.14071172803852217,-0.10093042646765735,-0.02842993518144533,0.1977125744206862,0.1103370694109338,0.16710402927794207,0.02063149879639396,0.08975278880745818,0.15517879910567017,0.09744370373237667,0.14214141485606782
T05,0.2554515990385066,0.0458355458778634,-0.058364819254825714,0.054700788644761786,1.0,0.08056010659173525,0.2854474482762378,0.25162262750140135,0.0802915191852841,0.12940500111304187,0.0774740470984867,0.08896304434583303,-0.04492999967867457,0.08153344514757613,0.22973870912289993,0.05346865001535573,0.006477621764454426,-0.06642256308215017,0.05411237782120027,-0.13371044596794998,-0.10566124348663679,0.07106510142825706,-0.06193604676870392,-0.15415503732122499,0.13664633729156783,0.061144681868750564,0.1357408359517339,-0.06022223596783159,0.13664633729156778,0.11516484913648366,-0.02059527490975925,-0.04095451800799661,0.04022330520277488,-0.05570004663378845,0.2316221883555825,0.1514273546065038,0.33916859424079004,-0.0351355014938799,0.12930876974662545,0.21240878859544604,0.3578696989682933,0.23002679029322967,0.22291784560247618,0.014583795414032747,0.23429631167522666,0.22915717910717892,0.12172581564355987,-0.006563191011618939,0.03961450453332499,0.02267098031076582,0.25528999611525616,-0.027180104965604586,0.09000989527876198,0.014942859420880984,0.14416156598533275,0.1827014460913593,0.02857193642968877,0.06111155491486437,0.1151085752394519,0.1349988317161077
T06,0.024063579633341173,0.2817796562788623,0.18382214102025393,0.2496034193536414,0.08056010659173525,1.0,0.015902663662523,0.008852069544532354,0.07161795735978249,0.14320267801758724,0.15306066005586452,0.23341038333596004,0.055644562310757435,0.16869435827453283,0.1674509137261051,0.20406644772894675,-0.1294557750975164,-0.3021866881657298,0.12440350822720625,0.02046227993170401,0.2515353991886417,0.2025070715286841,0.1402569093203676,-0.030915652001561947,0.4402113585706435,0.20254068053782992,0.4583065726198032,-0.10946726774139802,0.4964498140708579,0.26357362170766474,0.02495081346614017,0.07292923229895497,0.07872710401235528,0.3583747095324005,0.05768511333919983,0.19229054681808372,0.37860587302509,-0.1371832472207056,0.1639971346975065,0.1568839691077134,-0.02007049442264949,0.15671872652575333,0.29327271642756036,0.28755865124903557,0.1909323114037135,-0.05521757688808721,0.28687978056649655,0.2531125169266736,0.12328135354886932,0.28164140711276003,0.1133857118281875,0.2196202067057283,0.07542332775137102,0.3991161831972665,0.20745192767376627,0.05551287994975838,0.28865657095637487,0.22931105283955455,0.2497486142866062,0.34087974646394004
T07,0.2557853649145476,0.039838408556481325,0.10595755165360557,-0.03555240324592382,0.2854474482762378,0.015902663662523,1.0,0.1504182301129751,0.23720952765653247,0.0967125919779791,0.18108695999857968,0.02161113090531942,-0.06477659908672039,0.15120148642340728,-0.045756915953662256,0.10031934447201678,0.07834916637493966,-0.02009619004258633,0.07735269484954753,0.002701229825751843,0.060704459837346,0.03886487048339218,0.008415693087796142,-0.0047545935219040734,-0.008251610720339938,0.1197473565781792,0.01335946942334144,-0.00549028263418603,0.03960773145763187,0.0038017475307070476,0.18532884407134617,0.19889296864766406,0.14369168193194246,0.003465676502542784,-0.02583708353371652,0.16364067960082754,0.27226400289510877,0.20460616508878568,0.2679006292899907,0.23521876807019246,0.22140921459894813,0.2520540796138828,0.21884374916798865,0.2034256225731217,0.21402952702282232,0.4518972860228749,0.24818081535559489,-0.053341008870349274,0.24019601797454299,0.09378063948079925,0.02518753166618585,0.13475937474010366,0.22669760740362507,-0.012795854934805015,0.16238317367392902,0.21679282274283024,0.07149304395329145,0.21997958149101712,0.22965075050936698,0.052275935649603957
T08,0.18464131764998867,0.14706299645965426,-0.10801442283322447,0.14710732139975477,0.25162262750140135,0.008852069544532354,0.1504182301129751,1.0,0.2509827565293872,0.10797435029611745,0.23533476072483644,0.1244856987123716,0.13214611925690517,0.13135117480935046,0.03506090499139387,-0.012084387046695845,0.20049412763487945,-0.021566479440247335,-0.09608555825184023,0.12351150092444119,0.16711084031825862,0.002634691121350833,-0.2304005879140532,-0.05663529934539354,-0.018467930696505642,-0.11388090177508653,0.15834658008786787,0.18923015748187832,0.0578898596832773,-0.11077549004890311,-0.016743174061338517,-0.05044765248903759,0.0536292067765217,0.0338415231866929,0.12954425105018344,0.11272416266272998,0.11332777484867844,0.04985821082383077,0.10412187077321254,0.11579407759513079,0.029040693581997415,0.13791082333116883,0.0944504343296498,-0.007278655556984747,0.040455318444676466,0.0666174619359397,0.01853543291113431,0.013218981018066359,0.02469366406388897,0.010885196063242647,-0.029869354265617598,0.03955691250790167,0.1018488394774838,-0.10896316869705325,0.15886352837253537,0.25887361731442793,0.07230536848406588,0.12118884925892734,-0.015376110244853181,-0.06020405668601387
T09,0.08478350890221745,-0.1542303718982656,0.15257620701790237,-0.10964729415573117,0.0802915191852841,0.07161795735978249,0.23720952765653247,0.2509827565293872,1.0,-0.1821722360655764,0.11526210546600574,-0.16771710546764998,-0.12503628199882275,-0.0938789314912188,-0.03311255018014133,0.003347984799332455,0.02730862482966399,-0.06163981835766212,0.13164591386489055,0.13298039986393842,0.17846201817951354,0.11585227798420829,-0.0907426354430434,-0.07285627702534975,-0.040819935612081214,-0.04232938971995073,0.031047546676299925,0.1405307310479041,0.15420864564564027,0.09019588736413037,0.010845510483994765,0.23960767804362415,0.015871037448312586,0.01884324231636191,-0.1339552541837215,0.013757196597665522,0.006666545956639303,0.24383279695125493,0.10072659303317584,0.2483573186756438,0.1258394286873533,0.20285418644610642,0.014458730562590812,-0.09033357984389455,-0.03832229165997713,0.11722464746965741,0.03372633461848087,0.06463638876571069,0.010725203167239766,0.25503325567842394,-0.0965887015228977,0.24642817741355522,0.060179140504165916,-0.001724151385003146,-0.09050521081679372,0.2323899978772089,-0.01707384442070598,-0.01518942143076723,0.19846997145875092,0.15851570906178966
T10,0.027488157032609227,0.14004441376985483,0.1406251100218416,0.24278952119167235,0.12940500111304187,0.14320267801758724,0.0967125919779791,0.10797435029611745,-0.1821722360655764,1.0,0.29781202735669887,0.44691359165224753,0.23614320480483264,0.3063769794224217,-0.03737211371476732,-0.01665954530758038,-0.028532299119279434,-0.15131550932108462,-0.05622229769013021,0.06699253303405919,-0.02900096485772258,0.16209641732729074,-0.04813304977269346,0.2642158913099593,0.2561227629534135,0.25098366644617165,0.14168349172877845,0.04589141183571483,0.18046001124900957,0.06791678552112689,0.11520361886112794,0.2567717954604966,0.07229654452198941,0.19344008675692018,0.4638673879654644,0.20670394302330578,0.15283882339323973,0.10853187998119186,0.19213544766053028,0.16864047043891495,0.06900684064213476,0.2910765005908441,0.14157488125119588,0.22294020992924332,0.24477050461998226,-0.06529516848027539,0.2651315290310405,0.07951824301933133,0.125850986140815,-0.06565942542104072,-0.016111834442350103,0.09934960481912151,0.16807475895716845,0.13885116337996298,0.28401794962523247,-0.08589565702417101,0.14905111483043912,0.24250426631628746,0.023806792181910917,0.10395400952609
