,PC1,PC2,PC3
T01,-0.018,-0.0422,0.0408
T02,0.0574,0.1251,0.2597
T03,0.0832,-0.0023,-0.1252
T04,0.0832,0.1882,0.2746
T05,0.0629,0.0988,-0.0228
T06,0.1305,0.0529,0.259
T07,0.0807,-0.0029,-0.1455
T08,0.0319,0.0825,-0.0654
T09,0.0321,-0.2114,-0.1037
T10,0.0999,0.1849,-0.021
T11,0.1109,0.094,-0.2532
T12,0.1146,0.3234,-0.1014
T13,0.0835,0.0621,-0.1695
T14,0.0945,0.2645,0.102
T15,0.0499,0.1833,0.0078
E01,0.0713,-0.27,0.1786
E02,-0.043,0.1378,-0.1222
E03,-0.0912,0.0437,-0.1934
E04,0.0559,-0.1033,0.1843
E05,0.0813,-0.2299,0.0086
E06,0.0544,-0.1194,0.1258
E07,0.1675,-0.1194,0.1178
E08,0.0734,-0.0405,0.0192
E09,0.0743,-0.1995,0.0235
E10,0.1859,0.0052,0.2938
E11,0.1478,-0.1446,-0.0718
E12,0.1488,-0.0159,0.2246
E13,0.0403,-0.1792,-0.0697
E14,0.1617,-0.031,0.1969
E15,0.1564,-0.113,0.1168
S01,0.1072,0.0305,-0.0795
S02,0.1269,-0.1032,-0.1007
S03,0.105,0.0601,-0.0977
S04,0.1432,0.0077,0.0201
S05,0.1088,0.1311,-0.1013
S06,0.182,-0.0323,0.0728
S07,0.1778,-0.0115,0.085
S08,0.0725,-0.1339,-0.1862
S09,0.1968,-0.0125,-0.0296
S10,0.1369,-0.0322,-0.1622
S11,0.1299,-0.1474,-0.0862
S12,0.1394,-0.0293,-0.1397
S13,0.1616,0.1636,-0.0181
S14,0.1876,0.0998,0.0071
S15,0.1604,0.1676,0.04
V01,0.1077,0.0209,-0.0363
V02,0.1718,0.1349,0.0512
V03,0.1342,0.096,0.0072
V04,0.138,0.0988,-0.1684
V05,0.1381,-0.2114,-0.0857
V06,0.1165,-0.0024,-0.1768
V07,0.1791,-0.2499,-0.1161
V08,0.1818,-0.0463,-0.1155
V09,0.1881,-0.0376,0.0669
V10,0.1878,0.1184,-0.1101
V11,0.1269,-0.0329,-0.0483
V12,0.1718,0.0166,-0.0367
V13,0.1736,0.1137,-0.0031
V14,0.1756,-0.129,0.0673
V15,0.1628,-0.0197,-0.1069
