respondent,PC1,PC2,PC3
11,-4.2685,0.7717,3.498
12,-4.5146,-2.0874,2.1778
13,1.5561,-1.7928,0.0558
14,-2.3979,1.3256,-0.0156
16,-0.0106,0.3363,0.1472
17,-1.6062,3.3362,-2.1682
18,-1.8835,-0.4467,-1.9873
19,1.5077,-1.9701,2.4635
20,2.5513,-0.4217,-0.9897
21,4.6086,-0.5794,-0.3566
22,-4.4903,-0.6115,2.0741
24,-2.7135,1.688,2.5227
26,1.3601,-1.3364,-0.1426
29,3.5272,-0.5124,-2.6794
31,-1.0142,-2.2621,0.384
32,0.5835,1.6967,0.948
35,1.4805,0.2993,0.4884
36,-2.0943,6.6452,0.4699
37,4.2725,1.1043,-0.1452
38,1.9683,-0.9087,1.7564
40,1.8345,-0.0256,-2.7716
41,5.3662,1.1525,-1.1116
42,-1.6555,-0.3322,0.8075
43,0.6928,0.2437,-1.5101
45,-0.6098,-1.2962,0.3114
46,-0.9486,-0.6606,0.0199
48,-0.5253,-1.8551,-1.4522
49,2.991,0.2434,-0.8731
50,4.2761,0.2184,-0.0267
52,2.4279,-0.2175,-0.0039
53,2.7197,1.4672,0.2075
54,4.6525,1.3642,-0.6238
55,2.9842,0.094,0.5082
56,-1.7661,-1.1176,0.6874
57,2.4912,-0.5066,-2.312
58,-4.6559,2.8207,1.6187
59,-0.2917,-2.2274,0.7536
61,2.8935,0.1252,-0.5544
62,2.9255,2.2568,-3.4132
63,-0.9125,-1.7164,-0.9583
64,-0.7043,-1.0658,0.8351
65,-3.5558,0.0033,1.5214
66,2.2675,-0.973,-1.7199
67,3.3018,-0.6155,0.6379
69,-0.7877,-0.1953,1.2624
70,-0.0517,-0.5038,2.2372
72,0.8452,-3.0239,1.7004
74,2.9308,-0.5024,0.0382
79,-1.9542,-0.3689,-2.5385
80,0.3819,1.1324,-0.2617
81,3.6578,0.6033,-1.7001
82,2.0283,1.8322,-2.9476
83,3.4264,-0.6668,-0.4526
84,0.7245,1.9945,0.2609
85,-2.4938,1.5188,3.4385
86,3.2057,0.6366,1.4297
89,-3.2017,-4.035,-1.4032
90,-1.6661,-0.623,2.1299
91,-3.7509,-0.0087,0.3011
92,1.3492,-1.0341,0.1574
93,-3.6668,2.0548,-1.4719
94,5.3348,-1.5814,0.2553
95,3.3824,1.0502,0.2071
97,3.7894,0.4496,0.0405
99,-0.9973,0.1933,0.1597
101,-0.082,1.396,0.5936
102,-1.8725,0.8009,-1.998
103,-1.662,0.3711,0.5104
104,3.5133,0.0229,0.8456
105,4.6085,-1.1652,0.3461
106,-1.2342,-2.5371,1.1082
108,3.4244,-0.8542,-1.6376
109,-2.1706,-0.7897,0.8129
110,5.4708,-1.5808,-0.8727
111,-2.8937,3.0697,-2.534
113,-2.8312,-0.6968,2.8845
114,4.5069,0.7385,-0.0726
115,-3.3438,-0.2909,2.3336
116,0.501,-0.8191,1.1451
117,-3.8785,0.7709,0.2589
118,-0.5809,-0.8555,-0.891
119,-10.8509,2.1904,-0.4665
120,-13.8987,-6.321,-7.0882
121,-0.9995,-1.1067,4.1181
123,-4.7502,-0.2075,0.1921
125,-5.8221,6.3826,-2.3565
126,-2.261,0.9054,0.8465
